Aca
Mijajlo
Mijat
Mijobrat
Miladin
Milan
Milanko
Milas
Milašin
Mile
Milen
Milenko
Milentije
Milić
Milidrag
Milija
Milijan
Milijas
Milika
Milin
Milinko
Milisav
Milivoj
Milivoje
Miljan
Miljen
Miljenko
Milko
Miloje
Milojko
Milomir
Milorad
Miloš
Miloslav
Milovan
Milun
Milutin
Miodrag
Miomir
Mirčeta
Mirko
Miroljub
Miroslav
Miša
Miško
Mitar
Mladen
Mlađan
Mlađen
Mladomir
Momčilo
Momir
Mrđan
Mrgud
Mrkša 
Magdalena
Maja
Majda
Malina
Malinka
Mara
Margarita
Margita
Marija
Marijana
Marika
Marina
Marjana
Marta
Maša
Mia
Mijana
Mila
Milada
Miladija
Miladinka
Milana
Milanka
Milena
Milenija
Milesa
Mileva
Milica
Milijana
Milina
Milisava
Milja
Miljana
Miljojka
Milka
Milkana
Milodarka
Milojka
Milomira
Milomirka
Miloslava
Milunika
Milunka
Milutinka
Mina
Minja
Miomira
Miomirka
Mira
Mirjana
Miroslava
Mitra
Mlađana
Momira
Momirka 
Nahod
Najdan
Najden
Naum
Nebojša
Nedeljko
Negomir
Negoslav
Negovan
Nemanja
Nenad
Neško
Nestor
Neven
Nićifor
Nikašin
Nikodije
Nikodim
Nikola
Nikolaj
Nikša
Nino
Ninoslav
Njegomir
Njegoš
Njegoslav
Njegovan
Novak
Novko
Nada
Nadežda
Nadica
Nadja
Najda
Narandža
Natalija
Nataša
Neda
Nedeljka
Negosava
Negovanka
Neva
Nevena
Nevenka
Nikoleta
Nikolija
Nikolina
Nina
Njegomirka
Njegoslava
Novka
Obrad
Obradin
Obren
Obrenko
Ognjan
Ognjen
Oleg
Oliver
Omilj
Ostoja
Oto
Ozren
Obradinka
Obrenija
Ognjana
Ognjanka
Olga
Olivera
Olja
Ozrenka 
Paja
Pantelija
Patrik
Paun
Paunko
Pavko
Pavle
Pejak
Pelagije
Pera
Perica
Periša
Perko
Pero
Perun
Perunko
Petak
Petar
Petko
Petoje
Petrašin
Plamenko
Plavša
Poznan
Predisav
Predrag
Pribisav
Prijezda
Prodan
Prohor
Prvan
Prvosav
Prvoslav
Prvul
Puniša
Pureš
Puriša 
Pamela
Paulina
Pauna
Pava
Pavla
Pelagija
Persa
Peruna
Petka
Petra
Petrija
Planinka
Poleksija
Prodana
Prvoslavka 
Rabren
Racko
Radan
Radašin
Rade
Raden
Radenko
Radeta
Radilo
Radin
Radiša
Radislav
Radivoj
Radivoje
Radman
Radmilo
Radmir
Radoje
Radojica
Radojko
Radojlo
Radomir
Radonja
Radoš
Radoslav
Radovan
Radul
Radun
Rafailo
Raičko
Rain
Raja
Rajin
Rajko
Raka
Raleta
Ranđel
Ranisav
Ranko
Raško
Rastislav
Rastko
Ratibor
Ratko
Ratomir
Relja
Rista
Risto
Rodoljub
Rumenko
Rusin
Rusmir
Ruzmarin
Rada
Radenka
Radija
Radinka
Radislavka
Radmila
Radna
Radojka
Radojla
Radoslava
Radovanka
Radunka
Rajka
Rakita
Ranđija
Ranislava
Ranka
Rastislava
Ravijojla
Roksanda
Rosa
Rumena
Rusa
Ruža
Ružica
Ruzmarinka 
Šaban
Šakota
Šale
Samuilo
Šandor
Saša
Sava
Savko
Savo
Sekula
Selak
Selimir
Sergej
Sever
Sima
Simeon
Simo
Simon
Sinđel
Siniša
Sisko
Slađan
Sladoje
Slaven
Slavko
Slavoljub
Slavomir
Slavuj
Slobodan
Smiljan
Smiljko
Smoljan
Soko
Sokol
Sotir
Spasoje
Spira
Spiridon
Spomenko
Srba
Srbislav
Srbo
Srbobran
Srboljub
Srbomil
Srbomir
Srborad
Srboslav
Srđa
Srđan
Srebren
Srećko
Sredoje
Sreten
Sretko
Stamenko
Stanilo
Stanimir
Staniša
Stanislav
Stanivoje
Stanko
Stanoje
Stanojko
Stefan
Stepan
Stevan
Stevo
Stoin
Stojadin
Stojak
Stojan
Stojiljko
Stojša
Strahinja
Strainja
Strašimir
Šumenko
Svanislav
Svetibor
Svetislav
Svetoje
Svetolik
Svetoljub
Svetomir
Svetorad
Svetozar 
Sandra
Sanja
Sara
Saveta
Savka
Sekana
Selena
Silva
Silvija
Simana
Simona
Slađana
Sladunka
Slavica
Slavka
Slavojka
Slobodanka
Smilja
Smiljana
Smiljka
Snežana
Sofija
Sonja
Spasa
Spasenija
Spomenka
Srbijanka
Srebra
Srebrena
Srebrenka
Sretenka
Stajka
Stamena
Stamenka
Stana
Stanica
Stanimirka
Stanislava
Stanka
Stanojka
Stanuša
Staša
Stoisava
Stojadinka
Stojana
Stojka
Sunčica
Suzana
Svetislava
Svetlana 
Tadej
Tadija
Tanacko
Tanasije
Tankosav
Tasa
Tatomir
Teodor
Teofan
Teofil
Teša
Tešan
Tešimir
Tihan
Tihomir
Tihon
Timotije
Tiodor
Todor
Toma
Tomas
Tomica
Tomislav
Toplica
Trajko
Trifun
Tripko
Trojan
Trpko
Tvrdislav
Tvrtko
Tajana
Tamara
Tanja
Tankosa
Tankosava
Tara
Tatjana
Tea
Teodora
Tihana
Tihoslava
Tijana
Tina
Tiosava
Todora
Tomanija
Tomislava
Trnjina
Ubavko
Uglješa
Umiljen
Uroš
Uteša
Utešen
Ubavka
Una
Utva
Valentin
Vasil
Vasilije
Vasilj
Vasko
Vaskrsije
Vasoje
Večerin
Vedran
Vekoslav
Velemir
Velibor
Veličko
Velimir
Veliša
Velisav
Velizar
Veljko
Veran
Veroljub
Vesa
Veselin
Vesko
Vićan
Vićentije
Vidak
Vidoje
Vidoslav
Vikentije
Viktor
Višeslav
Vitko
Vitomir
Vlada
Vladan
Vladeta
Vladimir
Vladislav
Vlado
Vlaja
Vlajko
Vlaško
Vlastimir
Vlatko
Vojdrag
Vojimir
Vojin
Vojislav
Vojkan
Vuceta
Vucina
Vučko
Vujadin
Vujo
Vuk
Vukadin
Vukajlo
Vukan
Vukašin
Vukmir
Vukodrag
Vukomil
Vukomir
Vukosav
Vukoslav
Vukota
Vuksan
Vule
Vuleta 
Valentina
Valerija
Vanesa
Vanja
Varvara
Vasilija
Vasilisa
Vasiljka
Vasilka
Vaskrsija
Večerinka
Veliborka
Velimirka
Velinka
Velislava
Vera
Verica
Veroljupka
Veronika
Veroslava
Veselinka
Veselka
Vesna
Vida
Vidojka
Vidosava
Viktorija
Vilogorka
Violeta
Višeslava
Višnja
Vitka
Vitomirka
Vladana
Vladanka
Vladimirka
Vladislava
Vlasta
Vlastimirka
Vlatka
Vojislava
Vojislavka
Vojka
Vojna
Vučica
Vujka
Vuka
Vukadinka
Vukana
Vukica
Vukosava
Vuksana
Zafir
Zamfir
Zarija
Žarko
Zavid
Zavida
Zaviša
Zdravko
Zdravoljub
Želimir
Željko
Žika
Žitomir
Živa
Živadin
Živan
Živanko
Živko
Živojin
Živoljub
Živomir
Živorad
Živoslav
Života
Životije
Zlatan
Zlatibor
Zlatimir
Zlatko
Zlatokos
Zlatomir
Zlatoslav
Zoran
Zorilo
Zorko
Zrinko
Zvezdan
Zvezdodrag
Zvezdoslav
Zvonimir
Zvonko
Zaga
Zagorka
Žaklina
Žanka
Zdravka
Želimirka
Željana
Željka
Živadinka
Živana
Živanka
Živka
Živodarka
Živojinka
Živoratka
Živoslava
Živoslavka
Zlata
Zlatana
Zlatiborka
Zlatica
Zlatomirka
Zora
Zoraida
Zorana
Zorica
Zorinka
Zorka
Zrinka
Zvezdana
Zvonka 
